Probno mjerenje Vaga 0.05 sek -> 0 kg, 0* kutevi, ploce jedna uz drugu(min. 17,5cm)
{'ID': '01', 'CycleID': '29', 'length': '55', 'L1': '0000072d', 'R1': '00000584', 'L2': '00000732', 'R2': '00000592', 'L3': '0000074a', 'R3': '00000540', 'L4': '00000604', 'R4': '00000583', 'L5': '00000643', 'R5': '00000455', 'L6': '0000071a', 'R6': '0000043b', 'L7': '000006ec', 'R7': '0000043f', 'L8': '00000731', 'R8': '00000419', 'L9': '0000072b', 'R9': '00000579', 'L10': '00000715', 'R10': '00000549', 'ANGLE_L': '0c10', 'ANGLE_R': '0876', 'DIST': '00', 'Checksum': 'b3'}
{'ID': 1, 'CycleID': 41, 'length': 85, 'L1': 1837, 'R1': 1412, 'L2': 1842, 'R2': 1426, 'L3': 1866, 'R3': 1344, 'L4': 1540, 'R4': 1411, 'L5': 1603, 'R5': 1109, 'L6': 1818, 'R6': 1083, 'L7': 1772, 'R7': 1087, 'L8': 1841, 'R8': 1049, 'L9': 1835, 'R9': 1401, 'L10': 1813, 'R10': 1353, 'ANGLE_L': 3088, 'ANGLE_R': 2166, 'DIST': 0, 'Checksum': -77}

{'ID': '01', 'CycleID': '2a', 'length': '55', 'L1': '000005e6', 'R1': '000003ff', 'L2': '00000613', 'R2': '0000044e', 'L3': '00000635', 'R3': '00000533', 'L4': '00000721', 'R4': '0000053c', 'L5': '000005e9', 'R5': '00000405', 'L6': '00000700', 'R6': '0000042b', 'L7': '000006c7', 'R7': '00000415', 'L8': '00000602', 'R8': '00000472', 'L9': '0000064c', 'R9': '0000053c', 'L10': '00000638', 'R10': '000005a8', 'ANGLE_L': '0c10', 'ANGLE_R': '0876', 'DIST': '00', 'Checksum': '9c'}
{'ID': 1, 'CycleID': 42, 'length': 85, 'L1': 1510, 'R1': 1023, 'L2': 1555, 'R2': 1102, 'L3': 1589, 'R3': 1331, 'L4': 1825, 'R4': 1340, 'L5': 1513, 'R5': 1029, 'L6': 1792, 'R6': 1067, 'L7': 1735, 'R7': 1045, 'L8': 1538, 'R8': 1138, 'L9': 1612, 'R9': 1340, 'L10': 1592, 'R10': 1448, 'ANGLE_L': 3088, 'ANGLE_R': 2166, 'DIST': 0, 'Checksum': -100}

{'ID': '01', 'CycleID': '2b', 'length': '55', 'L1': '0000071c', 'R1': '00000536', 'L2': '000005e3', 'R2': '0000057a', 'L3': '000005f0', 'R3': '00000586', 'L4': '0000060f', 'R4': '00000538', 'L5': '000005f3', 'R5': '00000497', 'L6': '00000736', 'R6': '0000052c', 'L7': '00000633', 'R7': '0000053e', 'L8': '00000641', 'R8': '00000407', 'L9': '00000632', 'R9': '00000455', 'L10': '0000063a', 'R10': '0000051a', 'ANGLE_L': '0c10', 'ANGLE_R': '0876', 'DIST': '00', 'Checksum': 'b0'}
{'ID': 1, 'CycleID': 43, 'length': 85, 'L1': 1820, 'R1': 1334, 'L2': 1507, 'R2': 1402, 'L3': 1520, 'R3': 1414, 'L4': 1551, 'R4': 1336, 'L5': 1523, 'R5': 1175, 'L6': 1846, 'R6': 1324, 'L7': 1587, 'R7': 1342, 'L8': 1601, 'R8': 1031, 'L9': 1586, 'R9': 1109, 'L10': 1594, 'R10': 1306, 'ANGLE_L': 3088, 'ANGLE_R': 2166, 'DIST': 0, 'Checksum': -80}

{'ID': '01', 'CycleID': '2c', 'length': '55', 'L1': '000005fb', 'R1': '00000425', 'L2': '00000625', 'R2': '00000591', 'L3': '000006f8', 'R3': '00000577', 'L4': '00000631', 'R4': '00000447', 'L5': '0000070c', 'R5': '00000413', 'L6': '000005e6', 'R6': '0000057f', 'L7': '00000608', 'R7': '0000044c', 'L8': '000006d3', 'R8': '0000058f', 'L9': '000006f9', 'R9': '00000444', 'L10': '00000638', 'R10': '000003f9', 'ANGLE_L': '0c10', 'ANGLE_R': '0874', 'DIST': '00', 'Checksum': '24'}
{'ID': 1, 'CycleID': 44, 'length': 85, 'L1': 1531, 'R1': 1061, 'L2': 1573, 'R2': 1425, 'L3': 1784, 'R3': 1399, 'L4': 1585, 'R4': 1095, 'L5': 1804, 'R5': 1043, 'L6': 1510, 'R6': 1407, 'L7': 1544, 'R7': 1100, 'L8': 1747, 'R8': 1423, 'L9': 1785, 'R9': 1092, 'L10': 1592, 'R10': 1017, 'ANGLE_L': 3088, 'ANGLE_R': 2164, 'DIST': 0, 'Checksum': 36}

{'ID': '01', 'CycleID': '2d', 'length': '55', 'L1': '000005fc', 'R1': '00000577', 'L2': '00000714', 'R2': '00000449', 'L3': '00000732', 'R3': '0000043a', 'L4': '000005f9', 'R4': '0000041f', 'L5': '000005fa', 'R5': '0000056d', 'L6': '00000743', 'R6': '00000433', 'L7': '000006db', 'R7': '00000405', 'L8': '00000619', 'R8': '00000450', 'L9': '00000603', 'R9': '00000448', 'L10': '0000073a', 'R10': '00000418', 'ANGLE_L': '0c10', 'ANGLE_R': '0874', 'DIST': '00', 'Checksum': 'd8'}
{'ID': 1, 'CycleID': 45, 'length': 85, 'L1': 1532, 'R1': 1399, 'L2': 1812, 'R2': 1097, 'L3': 1842, 'R3': 1082, 'L4': 1529, 'R4': 1055, 'L5': 1530, 'R5': 1389, 'L6': 1859, 'R6': 1075, 'L7': 1755, 'R7': 1029, 'L8': 1561, 'R8': 1104, 'L9': 1539, 'R9': 1096, 'L10': 1850, 'R10': 1048, 'ANGLE_L': 3088, 'ANGLE_R': 2164, 'DIST': 0, 'Checksum': -40}



Probno mjerenje Vaga 0.05 sek -> 0 kg, 0* kutevi, ploce 18 cm
{'ID': '01', 'CycleID': '13', 'length': '55', 'L1': '000005e6', 'R1': '0000058c', 'L2': '000006af', 'R2': '000004a9', 'L3': '000005d6', 'R3': '00000454', 'L4': '000005b4', 'R4': '000004ab', 'L5': '000006fc', 'R5': '0000059a', 'L6': '0000067f', 'R6': '000005ce', 'L7': '000006cb', 'R7': '0000047c', 'L8': '000006c0', 'R8': '00000485', 'L9': '000005b2', 'R9': '000004b5', 'L10': '000005dd', 'R10': '000005d8', 'ANGLE_L': '0c12', 'ANGLE_R': '087f', 'DIST': '00', 'Checksum': '8e'}
{'ID': 1, 'CycleID': 19, 'length': 85, 'L1': 1510, 'R1': 1420, 'L2': 1711, 'R2': 1193, 'L3': 1494, 'R3': 1108, 'L4': 1460, 'R4': 1195, 'L5': 1788, 'R5': 1434, 'L6': 1663, 'R6': 1486, 'L7': 1739, 'R7': 1148, 'L8': 1728, 'R8': 1157, 'L9': 1458, 'R9': 1205, 'L10': 1501, 'R10': 1496, 'ANGLE_L': 3090, 'ANGLE_R': 2175, 'DIST': 0, 'Checksum': -114}

{'ID': '01', 'CycleID': '14', 'length': '55', 'L1': '000006ec', 'R1': '000005cb', 'L2': '000006de', 'R2': '000004a8', 'L3': '000006cb', 'R3': '00000464', 'L4': '00000695', 'R4': '000005c4', 'L5': '0000068a', 'R5': '00000598', 'L6': '000005c8', 'R6': '0000046f', 'L7': '000005cc', 'R7': '0000058d', 'L8': '000005b7', 'R8': '000005cc', 'L9': '000006ea', 'R9': '00000593', 'L10': '00000625', 'R10': '000004bf', 'ANGLE_L': '0c12', 'ANGLE_R': '087f', 'DIST': '00', 'Checksum': '10'}
{'ID': 1, 'CycleID': 20, 'length': 85, 'L1': 1772, 'R1': 1483, 'L2': 1758, 'R2': 1192, 'L3': 1739, 'R3': 1124, 'L4': 1685, 'R4': 1476, 'L5': 1674, 'R5': 1432, 'L6': 1480, 'R6': 1135, 'L7': 1484, 'R7': 1421, 'L8': 1463, 'R8': 1484, 'L9': 1770, 'R9': 1427, 'L10': 1573, 'R10': 1215, 'ANGLE_L': 3090, 'ANGLE_R': 2175, 'DIST': 0, 'Checksum': 16}

{'ID': '01', 'CycleID': '15', 'length': '55', 'L1': '000005ec', 'R1': '000005d3', 'L2': '000005d9', 'R2': '000005cd', 'L3': '000005ae', 'R3': '000004a7', 'L4': '000006d8', 'R4': '000004e9', 'L5': '000006c8', 'R5': '00000465', 'L6': '00000602', 'R6': '000005db', 'L7': '000006e5', 'R7': '00000482', 'L8': '0000058d', 'R8': '0000044e', 'L9': '000006e2', 'R9': '0000046d', 'L10': '000006d4', 'R10': '0000049a', 'ANGLE_L': '0c12', 'ANGLE_R': '087f', 'DIST': '00', 'Checksum': '36'}
{'ID': 1, 'CycleID': 21, 'length': 85, 'L1': 1516, 'R1': 1491, 'L2': 1497, 'R2': 1485, 'L3': 1454, 'R3': 1191, 'L4': 1752, 'R4': 1257, 'L5': 1736, 'R5': 1125, 'L6': 1538, 'R6': 1499, 'L7': 1765, 'R7': 1154, 'L8': 1421, 'R8': 1102, 'L9': 1762, 'R9': 1133, 'L10': 1748, 'R10': 1178, 'ANGLE_L': 3090, 'ANGLE_R': 2175, 'DIST': 0, 'Checksum': 54}

{'ID': '01', 'CycleID': '16', 'length': '55', 'L1': '000005e0', 'R1': '000005b2', 'L2': '00000680', 'R2': '00000462', 'L3': '00000580', 'R3': '0000047b', 'L4': '000006ca', 'R4': '000005da', 'L5': '0000069f', 'R5': '00000590', 'L6': '00000621', 'R6': '00000585', 'L7': '000005d1', 'R7': '0000048f', 'L8': '00000591', 'R8': '000004a2', 'L9': '0000068d', 'R9': '000005d1', 'L10': '0000057e', 'R10': '000005b9', 'ANGLE_L': '0c12', 'ANGLE_R': '087f', 'DIST': '00', 'Checksum': 'c5'}
{'ID': 1, 'CycleID': 22, 'length': 85, 'L1': 1504, 'R1': 1458, 'L2': 1664, 'R2': 1122, 'L3': 1408, 'R3': 1147, 'L4': 1738, 'R4': 1498, 'L5': 1695, 'R5': 1424, 'L6': 1569, 'R6': 1413, 'L7': 1489, 'R7': 1167, 'L8': 1425, 'R8': 1186, 'L9': 1677, 'R9': 1489, 'L10': 1406, 'R10': 1465, 'ANGLE_L': 3090, 'ANGLE_R': 2175, 'DIST': 0, 'Checksum': -59}



Probno mjerenje Vaga 0.05 sek -> 0 kg, 0* kutevi, ploce 19 cm
{'ID': '01', 'CycleID': '22', 'length': '55', 'L1': '000006ca', 'R1': '000005df', 'L2': '000006c0', 'R2': '0000045e', 'L3': '00000579', 'R3': '0000048f', 'L4': '000006f5', 'R4': '0000044a', 'L5': '000006c7', 'R5': '000005ce', 'L6': '000006e1', 'R6': '000005b1', 'L7': '000006df', 'R7': '0000049e', 'L8': '000006a4', 'R8': '000004d2', 'L9': '000006df', 'R9': '00000467', 'L10': '000005ec', 'R10': '000004a2', 'ANGLE_L': '0c13', 'ANGLE_R': '0877', 'DIST': '01', 'Checksum': 'b7'}
{'ID': 1, 'CycleID': 34, 'length': 85, 'L1': 1738, 'R1': 1503, 'L2': 1728, 'R2': 1118, 'L3': 1401, 'R3': 1167, 'L4': 1781, 'R4': 1098, 'L5': 1735, 'R5': 1486, 'L6': 1761, 'R6': 1457, 'L7': 1759, 'R7': 1182, 'L8': 1700, 'R8': 1234, 'L9': 1759, 'R9': 1127, 'L10': 1516, 'R10': 1186, 'ANGLE_L': 3091, 'ANGLE_R': 2167, 'DIST': 1, 'Checksum': -73}

{'ID': '01', 'CycleID': '23', 'length': '55', 'L1': '000005ce', 'R1': '00000463', 'L2': '000005fe', 'R2': '000005dc', 'L3': '0000059f', 'R3': '0000058e', 'L4': '000006ab', 'R4': '00000591', 'L5': '0000059f', 'R5': '0000059d', 'L6': '000005e8', 'R6': '00000472', 'L7': '00000599', 'R7': '000004bb', 'L8': '000005fa', 'R8': '000005c9', 'L9': '000005e3', 'R9': '000005da', 'L10': '000006e2', 'R10': '00000450', 'ANGLE_L': '0c13', 'ANGLE_R': '0877', 'DIST': '01', 'Checksum': 'c9'}
{'ID': 1, 'CycleID': 35, 'length': 85, 'L1': 1486, 'R1': 1123, 'L2': 1534, 'R2': 1500, 'L3': 1439, 'R3': 1422, 'L4': 1707, 'R4': 1425, 'L5': 1439, 'R5': 1437, 'L6': 1512, 'R6': 1138, 'L7': 1433, 'R7': 1211, 'L8': 1530, 'R8': 1481, 'L9': 1507, 'R9': 1498, 'L10': 1762, 'R10': 1104, 'ANGLE_L': 3091, 'ANGLE_R': 2167, 'DIST': 1, 'Checksum': -55}

{'ID': '01', 'CycleID': '24', 'length': '55', 'L1': '0000068f', 'R1': '00000595', 'L2': '000005c4', 'R2': '00000590', 'L3': '000006ed', 'R3': '00000441', 'L4': '00000598', 'R4': '000005d9', 'L5': '0000068c', 'R5': '000005ae', 'L6': '0000060a', 'R6': '000004bc', 'L7': '000006a0', 'R7': '000005b2', 'L8': '000005f8', 'R8': '000004a3', 'L9': '00000596', 'R9': '00000492', 'L10': '00000595', 'R10': '000005cc', 'ANGLE_L': '0c13', 'ANGLE_R': '0877', 'DIST': '01', 'Checksum': '4a'}
{'ID': 1, 'CycleID': 36, 'length': 85, 'L1': 1679, 'R1': 1429, 'L2': 1476, 'R2': 1424, 'L3': 1773, 'R3': 1089, 'L4': 1432, 'R4': 1497, 'L5': 1676, 'R5': 1454, 'L6': 1546, 'R6': 1212, 'L7': 1696, 'R7': 1458, 'L8': 1528, 'R8': 1187, 'L9': 1430, 'R9': 1170, 'L10': 1429, 'R10': 1484, 'ANGLE_L': 3091, 'ANGLE_R': 2167, 'DIST': 1, 'Checksum': 74}

{'ID': '01', 'CycleID': '25', 'length': '55', 'L1': '000005e0', 'R1': '0000044d', 'L2': '000005db', 'R2': '00000484', 'L3': '00000584', 'R3': '000004df', 'L4': '000006ec', 'R4': '000004a9', 'L5': '00000688', 'R5': '000005c5', 'L6': '000006db', 'R6': '0000057b', 'L7': '000005d7', 'R7': '0000059d', 'L8': '000005e5', 'R8': '00000592', 'L9': '000005ab', 'R9': '000004ad', 'L10': '00000573', 'R10': '00000490', 'ANGLE_L': '0c13', 'ANGLE_R': '0877', 'DIST': '01', 'Checksum': '27'}
{'ID': 1, 'CycleID': 37, 'length': 85, 'L1': 1504, 'R1': 1101, 'L2': 1499, 'R2': 1156, 'L3': 1412, 'R3': 1247, 'L4': 1772, 'R4': 1193, 'L5': 1672, 'R5': 1477, 'L6': 1755, 'R6': 1403, 'L7': 1495, 'R7': 1437, 'L8': 1509, 'R8': 1426, 'L9': 1451, 'R9': 1197, 'L10': 1395, 'R10': 1168, 'ANGLE_L': 3091, 'ANGLE_R': 2167, 'DIST': 1, 'Checksum': 39}



Probno mjerenje Vaga 0.05 sek -> 0 kg, 0* kutevi, ploce 20 cm
{'ID': '01', 'CycleID': '98', 'length': '55', 'L1': '000006df', 'R1': '00000438', 'L2': '00000689', 'R2': '000005cd', 'L3': '0000067a', 'R3': '00000488', 'L4': '0000067c', 'R4': '000005d0', 'L5': '00000692', 'R5': '00000453', 'L6': '000005e0', 'R6': '00000494', 'L7': '000005a3', 'R7': '000005c4', 'L8': '000005cd', 'R8': '00000454', 'L9': '000006dc', 'R9': '00000468', 'L10': '000006a9', 'R10': '00000465', 'ANGLE_L': '0c13', 'ANGLE_R': '087f', 'DIST': '02', 'Checksum': '27'}
{'ID': 1, 'CycleID': 152, 'length': 85, 'L1': 1759, 'R1': 1080, 'L2': 1673, 'R2': 1485, 'L3': 1658, 'R3': 1160, 'L4': 1660, 'R4': 1488, 'L5': 1682, 'R5': 1107, 'L6': 1504, 'R6': 1172, 'L7': 1443, 'R7': 1476, 'L8': 1485, 'R8': 1108, 'L9': 1756, 'R9': 1128, 'L10': 1705, 'R10': 1125, 'ANGLE_L': 3091, 'ANGLE_R': 2175, 'DIST': 2, 'Checksum': 39}

{'ID': '01', 'CycleID': '99', 'length': '55', 'L1': '000005ca', 'R1': '000005bb', 'L2': '0000059d', 'R2': '000005ba', 'L3': '00000590', 'R3': '00000445', 'L4': '000006e2', 'R4': '00000489', 'L5': '00000691', 'R5': '000004a0', 'L6': '00000571', 'R6': '00000469', 'L7': '000006bc', 'R7': '000005bd', 'L8': '000006c9', 'R8': '000005bf', 'L9': '0000068e', 'R9': '00000597', 'L10': '0000059a', 'R10': '00000452', 'ANGLE_L': '0c13', 'ANGLE_R': '087f', 'DIST': '02', 'Checksum': '73'}
{'ID': 1, 'CycleID': 153, 'length': 85, 'L1': 1482, 'R1': 1467, 'L2': 1437, 'R2': 1466, 'L3': 1424, 'R3': 1093, 'L4': 1762, 'R4': 1161, 'L5': 1681, 'R5': 1184, 'L6': 1393, 'R6': 1129, 'L7': 1724, 'R7': 1469, 'L8': 1737, 'R8': 1471, 'L9': 1678, 'R9': 1431, 'L10': 1434, 'R10': 1106, 'ANGLE_L': 3091, 'ANGLE_R': 2175, 'DIST': 2, 'Checksum': 115}

{'ID': '01', 'CycleID': '9a', 'length': '55', 'L1': '0000069e', 'R1': '00000468', 'L2': '000005be', 'R2': '00000586', 'L3': '0000057d', 'R3': '0000046f', 'L4': '000005ca', 'R4': '00000449', 'L5': '00000712', 'R5': '000005d0', 'L6': '000006d8', 'R6': '00000449', 'L7': '000006eb', 'R7': '0000047c', 'L8': '000006d8', 'R8': '00000447', 'L9': '00000608', 'R9': '0000044e', 'L10': '0000057f', 'R10': '00000464', 'ANGLE_L': '0c13', 'ANGLE_R': '087f', 'DIST': '02', 'Checksum': '45'}
{'ID': 1, 'CycleID': 154, 'length': 85, 'L1': 1694, 'R1': 1128, 'L2': 1470, 'R2': 1414, 'L3': 1405, 'R3': 1135, 'L4': 1482, 'R4': 1097, 'L5': 1810, 'R5': 1488, 'L6': 1752, 'R6': 1097, 'L7': 1771, 'R7': 1148, 'L8': 1752, 'R8': 1095, 'L9': 1544, 'R9': 1102, 'L10': 1407, 'R10': 1124, 'ANGLE_L': 3091, 'ANGLE_R': 2175, 'DIST': 2, 'Checksum': 69}

{'ID': '01', 'CycleID': '9b', 'length': '55', 'L1': '000006ed', 'R1': '00000594', 'L2': '00000591', 'R2': '000005d9', 'L3': '00000588', 'R3': '000005a1', 'L4': '000005a2', 'R4': '00000587', 'L5': '000005db', 'R5': '00000596', 'L6': '000005d9', 'R6': '000005a3', 'L7': '000005ca', 'R7': '00000447', 'L8': '000006c5', 'R8': '0000046e', 'L9': '00000597', 'R9': '0000045f', 'L10': '000005c4', 'R10': '00000440', 'ANGLE_L': '0c13', 'ANGLE_R': '087f', 'DIST': '02', 'Checksum': 'a2'}
{'ID': 1, 'CycleID': 155, 'length': 85, 'L1': 1773, 'R1': 1428, 'L2': 1425, 'R2': 1497, 'L3': 1416, 'R3': 1441, 'L4': 1442, 'R4': 1415, 'L5': 1499, 'R5': 1430, 'L6': 1497, 'R6': 1443, 'L7': 1482, 'R7': 1095, 'L8': 1733, 'R8': 1134, 'L9': 1431, 'R9': 1119, 'L10': 1476, 'R10': 1088, 'ANGLE_L': 3091, 'ANGLE_R': 2175, 'DIST': 2, 'Checksum': -94}



Probno mjerenje Vaga 0.05 sek -> 0 kg, 0* kutevi, ploce 21 cm
{'ID': '01', 'CycleID': '50', 'length': '55', 'L1': '000005ca', 'R1': '000004a3', 'L2': '0000067f', 'R2': '000004c8', 'L3': '000005b0', 'R3': '00000459', 'L4': '000005c6', 'R4': '00000481', 'L5': '000005ab', 'R5': '00000583', 'L6': '000005c8', 'R6': '00000454', 'L7': '00000596', 'R7': '00000451', 'L8': '000006c8', 'R8': '000005af', 'L9': '000006dc', 'R9': '000004a0', 'L10': '000005df', 'R10': '0000049a', 'ANGLE_L': '0c15', 'ANGLE_R': '0872', 'DIST': '03', 'Checksum': '83'}
